model,median_sent_len,mean_sent_len,pct_degenerate
human,20.923076923076923,26.628042400461123,1.7408998417363781
chatgpt,19.066666666666666,19.17497160868178,0.27754857099992497
gpt4,18.666666666666668,18.208410659195344,0.04490009728354411
gpt3,17.428571428571427,22.60127894834169,6.975517890772127
gpt2,20.666666666666668,82.56976840974883,22.03120266585883
llama-chat,21.0625,26.838703431143504,3.728583289304853
mistral,17.944444444444443,60.061731153706866,16.581054539960718
mistral-chat,20.6,24.51772584947119,2.385445761304446
mpt,18.234432234432234,49.58570938550961,11.316623886456288
mpt-chat,20.857142857142858,22.84498781410858,2.015246433693109
cohere,20.0,25.393710188414648,2.63671875
cohere-chat,20.1,24.10151566282264,4.0736565201052235
